Date,Company,Position,Salary,Years of experience
4/22/2019 17:15:38,Renderforest,UI UX Designer,"714,000",4
4/22/2019 23:14:16,,Backend Developer,"350,000",1
4/23/2019 10:57:40,Synopsys,Engineer Sr. I,"800,000",6
4/23/2019 12:23:44,US based Armenian company,Android developer,"450,000",2.5
4/23/2019 12:24:12,,Android developer,"700,000",3.5
4/26/2019 18:44:48,Energize Global Services,Junior Developer,"500,000",2
4/26/2019 18:44:48,Energize Global Services,Mid-level Developer,"800,000",2
4/26/2019 19:14:48,StDev,Junior Js devloper,"150,000",0.2
4/27/2019 12:31:09,EPAM,Front End Developer,"800,000",4
4/27/2019 21:12:07,,Senior Database Administratior,"1,450,000",17
4/28/2019 22:02:34,Synopsys,R&D Engineer,"660,000",10
5/1/2019 11:41:38,,Business analyst / project manager,"334,000",2
5/1/2019 11:50:47,IUNetworks,Senior Java Developer,"1,500,000",12
5/1/2019 14:35:32,,Frontend Developer,"110,000",4
5/1/2019 14:55:15,,Solution Architect,"1,500,000",10
5/2/2019 10:05:17,Where I should not work for this salary) ,Product Owner,"350,000",5
5/2/2019 15:23:35,WF,Developer,"300,000",2
5/3/2019 10:25:36,SFL,Project Manager,"600,000",2
5/5/2019 14:37:29,,Frontend developer,"415,000",3
5/5/2019 14:39:31,ST-Dev,Backend Developer (Python),"150,000",0
5/6/2019 1:46:47,VMware,Member of Technical Staff 3,"1,400,000",5
5/6/2019 1:48:06,VMware,Member of Technical Staff 3,"1,100,000",5
